"id","groupId","Authors","title","journal","volume","pages","date","bookTitle","note","publisher","editors","institution","tech","address"
"27","deb1989a"," Deb, K. and D. Goldberg (1989). "," An investigation of niche and species formation in genetic function op-timization. ","",""," pp. 42-50. ",""," Proceedings of the Third International Conference on Genetic Algorithms, ",""," Morgan Kaufmann. "," In J. Schaffer (Ed.), ","","",""
"28","deb1989a"," Deb, K. and D. Goldberg"," An investigation of niche and species formation in genetic function optimization. ","",""," pp. 42-50. "," (1989)."," Proceedings of the Third International Conference on Genetic Algorithms, ",""," Morgan Kaufmann. "," In J. Schaffer (Ed.), ","","",""
"29","deb1989a"," Deb, K. and D. Goldberg "," An investigation of niche and species formation in genetic function optimization. ","",""," pp. 42-50. "," (1989)."," Proceedings of the Third International Conference on Genetic Algorithms, ",""," Morgan Kaufmann. "," In J. Schaffer (Ed.), ","","",""
"30","dempster1977a"," Dempster, A., Laird, N., and Rubin, D. "," Maximum likelihood from incomplete data via the EM algorithm. "," Journal of the Royal Statistical Society B, "," 39 "," 1-38. "," (1977). ","","","","","","",""
"31","dempster1977a"," Dempster, A., Laird, N., and Rubin, D. "," Maximum likelihood from incomplete data via the EM algorithm. "," Journal of the Royal Statistical Society B, "," 39 "," 1-38. "," (1977). ","","","","","","",""
"32","dill1997a"," M. Dill and M. "," Fahle "," Perception & Psychophysics (in press). ","","","(1997a)","","","","","","",""
"33","dill1997a"," M. Dill and M. "," Fahle "," Perception & Psychophysics (in press). ","","","(1997a)","","","","","","",""
"34","dill1997b"," M. Dill and M. "," Fahle","","",""," (1997b)"," Proceedings of the Royal Society London B (in press). ","","","","","",""
"35","dill1997b"," M. Dill and M. "," Fahle ","","","","(1997b)"," Proceedings of the Royal Society London B (in press). ","","","","","",""
"36","dutta1988a"," Dutta, S. and Shekhar, S. "," Bond rating: A non-conservative application of neural networks. ",""," volume 2, "," pages 443-450. "," 1988. "," In International Joint Conference on Neural Networks, ","","","","Computer and Information Sciences, University of Florida "," TR91-008 ",""
"37","fahle1981a"," M. Fahle and T. Poggio. "," Visual hyperacuity: spatiotemporal interpolation in human vision. ",""," 213 "," 451-477, "," 1981. "," Proceedings of the Royal Society of London, B, ","","","","","",""
"38","fahle1991a"," Fahle, M. "," (1991) Parallel perception of vernier offsets, curvature, and chevrons in humans. "," Vis. Res., "," 31: "," 2149-2184. ","","","","","","","",""
"39","fahle1992a"," Fahle, M. W. and Edelman, S. "," Learning in hyperacuity: influence of stimulus range and of feedback. ","Vision Research.","",""," (1992). ","",""," in press. ","","","",""
"40","fahle1993a"," M Fahle and S Edelman. "," Long-term learning in Vernier acuity: effects of stimulus orientation, range and of feedback. "," Vision Research, "," 33(3) "," 397-412, "," 1993. ","","","","","","",""
"41","fahle1993a"," Fahle, M. & Edelman, S. "," Long-term learning in vernier acuity: Effects of stimulus orientation, range and of feedback. "," Vision Research, "," 33, "," 397-412. "," (1993). ","","","","","","",""
"42","fahle1993a"," Fahle, M. & Edelman, S. ","Long-term learning in vernier acuity: Effects of stimulus orientation, range and of feedback. "," Vision Research, "," 33, "," 397-412. "," (1993)","","","","","","",""
"43","fahle1995a"," Fahle, M., Edelman, S., and Poggio, T. "," Fast perceptual learning in hyperacuity. "," Vision Research, "," 35 "," 3003-3013. "," (1995). ","","","","","","",""
"44","fahle1995a"," Fahle, M., Edelman, S., and Poggio, T. "," Fast perceptual learning in hyperacuity. "," Vision Research, "," 35 "," 3003-3013. "," (1995). ","","","","","","",""
"45","fahle1995a"," Fahle, M., Edelman, S., and Poggio, T. "," Fast perceptual learning in hyperacuity. "," Vision Research, "," 35 "," 3003-3013. "," (1995). ","","","","","","",""
"46","fahle1995a"," Fahle, M., Edelman, S., & Poggio, T. "," "," Vision Research, "," 35, "," 3003-3013. ","(1995)","","","","","","",""
"47","fahle1997a"," Fahle, M. "," Specificity of learning curvature, orientation, and vernier discriminations. "," Vision Research, "," 37(14), "," 1885-1895. 66 "," (1997). ","","","","","","",""
"48","fahle1997a"," Fahle, M. ","Specificity of learning curvature, orientation, and vernier discriminations. "," Vision Research, "," 37(14), "," 1885-1895. "," (1997) ","","","","","","",""
"49","fahlen1993a"," Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson. "," A space based model for user interaction in shared synthetic environments. ","",""," pages 4348, "," April "," In Proceedings of Interchi '93, ","","","","","",""
"50","fahlen1993a"," Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson. "," A space based model for user interaction in shared synthetic environments. ","",""," pages 43-48, "," April "," In Proceedings of Interchi '93, ","","","","","",""
"51","fahlen1993a"," Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson. "," A space based model for user interaction in shared synthetic environments. ","",""," pages 43-48, "," April "," In Proceedings of Interchi '93, ","","","","","",""
"52","fahlen1993a"," Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson. "," A space based model for user interaction in shared synthetic environments. ","",""," pages 43-48, "," April "," In Proceedings of Interchi '93, ","","","","","",""
"53","fahlen1993a"," Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson. "," A space based model for user interaction in shared synthetic environments. ","",""," pages 43-48, "," April "," In Proceedings of Interchi '93, ","","","","","",""
"54","fahlman1974a 25."," S. Fahlman, ","   A planning system for robot construction tasks, "," Artificial Intelligence, "," vol. 5, "," pp. 1-49, "," 1974. ","","","","","","",""
"55","fahlman1974a 25."," S. Fahlman, ","   A planning system for robot construction tasks, "," Artificial Intelligence, "," vol. 5, "," pp. 1-49, "," 1974. ","","","","","","",""
"56","fahlman1974a 6."," Scott Elliott Fahlman. "," A planning system for robot construction tasks. "," Artificial Intelligence, "," 5(1) "," 1-49, "," 1974. ","","","","","","",""
"57","fahlman1974a 6."," Scott Elliott Fahlman. "," A planning system for robot construction tasks. "," Artificial Intelligence, "," 5(1) "," 1-49, "," 1974. ","","","","","","",""
"58","fahlman1974a"," Fahlman, S. E. "," A Planning System for Robot Construction Tasks. "," Artificial Intelligence, "," 5 (1), "," 1-49. "," (1974). ","","","","","","",""
"59","fahlman1974a"," Fahlman, S.E. "," A Planning System for Robot Construction Tasks. "," Artificial Intelligence, "," 5(1) "," 1-49. "," 1974. ","","","","","","",""
"60","fahlman1974a"," S. E. Fahlman. "," A planning system for robot construction tasks. "," Artificial Intelligence, "," 5 "," 1-49, "," 1974. ","","","","","","",""
"61","fahlman1974a"," S. E. Fahlman. "," A planning system for robot construction tasks. "," Artificial Intelligence, "," 5 "," 1-49, "," 1974. ","","","","","","",""
"62","fahlman1974a"," S.E. Fahlman. "," A planning system for robot construction tasks. "," Artificial Intelligence, "," 5 "," 1-49, "," 1974. ","","","","","","",""
"63","fahlman1974a"," S Fahlman. "," A planning system for robot construction tasks. "," Artificial Intelligence, "," 5 "," 1-49, "," 1974. ","","","","","","",""
"64","fahlman1974a"," S. F. Fahlman. "," A planning system for robot construction tasks. ","",""," 1-49, "," 1974. "," Artifical Intel-lignece, 5:pp. ","","","","","",""
"65","fahlman1974a"," S. E. Fahlman. "," A planning system for robot construction tasks. "," Artificial Intelligence, "," 5 "," 1-49, "," 1974. ","","","","","","",""
"66","fahlman1974a"," Scott Elliott Fahlman. "," A planning system for robot construction tasks. "," Artificial Intelligence, "," 5(1) "," 1-49, "," 1974. ","","","","","","",""
"67","fahlman1979a 17."," Fahlman, S. E., "," NETL: A system for representing and using real world knowledge, ","","",""," 1979. ","",""," Cambridge: MIT Press. ","","","",""
"68","fahlman1979a 5."," S. E. Fahlman. "," NETL: A System for Representing and Using Real World Knowledge. ","","",""," 1979. ","",""," MIT Press, ","","",""," Cambridge MA, "
"69","fahlman1979a"," Fahlman, S. "," NETL: A system for representing and using real world knowledge. ","","",""," (1979). ","",""," MIT Press. ","","","",""
"70","fahlman1979a"," Fahlman, S. E. "," NETL: A System for Representing and Using Real World Knowledge. ","","",""," (1979). ","",""," MIT Press, ","","",""," Cambridge MA. "
"71","fahlman1979a"," Fahlman, S. E. "," NETL: A System for Representing and Using Real World Knowledge. ","","",""," (1979). ","",""," MIT Press, ","","",""," Cambridge, MA. "
"72","fahlman1979a"," Fahlman, S. E. "," NETL: A System for Representing and Using Real-World Knowledge. ","","",""," (1979). ","",""," MIT Press. ","","","",""
"73","fahlman1979a"," Fahlman, S. E. "," NETL: A System for Representing and Using Real-World Knowledge. ","","",""," (1979). ","",""," The MIT Press, ","","",""," Cambridge, MA. "
"74","fahlman1979a"," Fahlman, S. E. "," NETL: A System for Representing and Using Real-World Knowledge. ","","",""," (1979). ","",""," The MIT Press, ","","",""," Cambridge, MA. "
"75","fahlman1979a"," Fahlman, S. E., "," NETL: A System for Representing and Using Real World Knowledge, ","","",""," 1979. ","",""," Cambridge: MIT Press. ","","","",""
"76","fahlman1979a"," Fahlman, S. E., "," NETL: A System for Representing and Using Real World Knowledge, ","","",""," 1979. ","",""," Cambridge: MIT Press. ","","","",""
"77","fahlman1979a"," Fahlman, S. E., "," NETL: A System for Representing and Using Real World Knowledge, ","","",""," 1979. ","",""," Cambridge: MIT Press. ","","","",""
"78","fahlman1979a"," Fahlman, S. E., "," NETL: A System for Representing and Using Real World Knowledge, Cam-bridge: ","","",""," 1979. ","",""," MIT Press. ","","","",""
"79","fahlman1979a"," Fahlman, S. E., "," NETL: A system for representing and using real world knowledge, ","","",""," 1979. ","",""," Cambridge: MIT Press. ","","","",""
"80","fahlman1979a"," Fahlman, S.E. "," NETL: A System for Representing and Using Real-World Knowledge. ","","",""," (1979). ","",""," MIT Press, ","","",""," Cambridge, MA. "
"81","fahlman1979a"," Scott E. Fahlman. "," NETL: A System for Representing and Using Real-World Knowledge. ","","",""," 1979. ","",""," MIT Press, ","","",""," Cambridge, MA, "
"82","fahlman1979a"," S. E. Fahlman. "," NETL : a System for Representing and Using Real-World Knowledge. ","","",""," 1979. ","",""," MIT Press, ","","",""," Cambridge, Mass., "
"83","fahlman1979a"," S.E. Fahlman. "," NETL: A system for representing real-world knowledge, ","","","","","",""," MIT Press. ","","","",""
"84","fahlman1979a"," Scott E. Fahlman. "," A System for Representing and Using Real-World Knowledge. ","","",""," 1979. ","",""," MIT Press, ","","",""," Cambridge, MA, "
"85","fahlman1979a"," Scott E. Fahlman. "," A System for Representing and Using Real-World Knowledge. ","","",""," 1979. ","",""," MIT Press, ","","",""," Cambridge, MA, "
"86","fahlman1979a"," Scott E. Fahlman. "," NETL: A System for Representing and Using Real-World Knowledge. ","","",""," 1979. ","",""," MIT Press, ","","",""," Cambridge, MA, "
"87","fahlman1979a"," S. Fahlman, "," NETL: A System for Representing and Using Real-World Knowledge. ","","",""," 1979. ","",""," The MIT Press, ","","",""," Cambridge, Massachusetts, "
"88","fahlman1979a"," Scott E. Fahlman. "," NETL: A System for Representing Real World Knowledge. ","","",""," 1979. ","",""," MIT Press, ","","","",""
"89","fahlman1979a"," Scott E. Fahlman. "," NETL: A System for Representing and Using Real-World Knowledge. ","","",""," 1979. ","",""," MIT Press, ","","",""," Cambridge, MA, "
"90","fahlman1979a"," S. Fahlman. "," NETL: A System for Representing and Using Real-World Knowledge. ","","",""," 1979. ","",""," The MIT Press, ","","",""," Cambridge, Mas-sachusetts, "
"91","fahlman1979a"," Scott E Fahlman. "," NETL, A System For Representing And Using Real-World Knowledge. ","","",""," 1979. ","",""," The MIT Press, ","","","",""
"92","fahlman1979a"," Fahlman, S.E., ","   NETL: A System for Representing and Using Real World Knowledge, ","","",""," 1979. ","",""," MIT Press, ","","",""," Cambridge, MA, "
"93","fahlman1979a"," S. Fahlman. "," NETL: A System for Representing and Using Real-World Knowledge. ","","",""," 1979. ","",""," MIT Press, ","","",""," Massachusetts, "
"94","fahlman1979a"," S. E. Fahlman. "," NETL: A System for Representing and Using Real-World Knowledge. ","","",""," 1977. ","",""," MIT Press, ","","",""," Cambridge, Ma, "
"95","fahlman1979a"," S.E. Fahlman. "," NETL: A System for Representing and Using Real World Knowledge, ","","",""," 1979. ","",""," MIT Press, ","","",""," Cambridge, MA, "
"96","fahlman1979a"," S.E. Fahlman. "," NETL: A system for representing and using real-world knowledge. ","","",""," 1979. ","",""," MIT Press, ","","",""," Cambridge, MA, U.S.A., "
"97","fahlman1979a"," S. Fahlman, "," NETL: A System for Representing and Using Real World Knowledge, ","","",""," 1979. ","",""," MIT Press, ","","",""," Cambridge, MA, "
"98","fahlman1979a"," S. Fahlman. "," NETL: A System for Representing and Using Real-World Knowledge. ","","",""," 1979. ","",""," The MIT Press, ","","",""," Cambridge, Massachusetts, "
"99","fahlman1979a"," Scott E. Fahlman. "," Netl: A System For Representing And Using Real-World Knowledge. ","","",""," 1979.","",""," MIT Press, ","","","",""
"100","fahlman1980a"," Scott E. Fahlman. "," Design sketch for a million-element netl machine. ","","",""," August "," In The First Annual Conference on Artificial Intelligence. AAAI, ","","","","","",""
"101","fahlman1981a"," Fahlman, S. ","   Representing Implicit Knowledge. ","","",""," (1981). "," Parallel Models of Associative Memory. ",""," Lawrence Erlbaum Associates. "," In G. Hinton and J. Anderson (Eds.), ","",""," Hillsdale, NJ: "
"102","fahlman1981b"," Fahlman S, Touretzky D and van Roggen W, "," Cancellation in a Parallel Semantic Network, ","",""," 257-263, ",""," In Proc IJCAI-81, "," International Joint Conferences on AI. ","","","",""," Menlo Park: "
"103","fahlman1985a"," Scott E. Fahlman. "," Extended abstract: ",""," 2 "," 283-286, "," 1985. "," Parallel processing in artificial intelligence. Parallel Computing, ","","","","","",""
"104","fahlman1987a"," Fahlman, S. & Hinton, G. "," Connectionist architectures for artificial intelligence. "," Computer, "," 20, "," 100-109. "," (1987). ","","","","","","",""
"105","fahlman1987a"," Scott E Fahlman and Geoffrey E Hinton. "," Connectionist Architectures for Artificial Intelligence. "," Computer, "," 20(1), ",""," January ","","","","","","",""
"106","fahlman1987a"," Fahlman, S. and Hinton, G. "," Connectionist Architectures for Artificial Intelligence. "," Computer, "," 20 "," 100-118. "," (1987). ","","","","","","",""
"107","fahlman1988a 15."," S. E. Fahlman, ","   Faster-Learning Variations on Back-Propagation: An Empirical Study, ","",""," pp. 38-51, "," 1989. "," Proc. of the 1988 Connectionist Models Summer School, ",""," Morgan Kauffman, "," D. Touretzky, G. Hinton and T. Sejnowski, eds., ","",""," San Mateo, CA: "
"108","fahlman1988a"," Fahlman, S. "," Faster-learning variations on backpropagation: An empirical study. ","","",""," (1988). "," Proc. of the Connectionist Model Summer School. ",""," Morgan Kaufmann, "," In Touretzky, D. , Hinton, G. , and Sejnowski, T. , (eds.), ","",""," San Mateo, CA. "
"109","fahlman1988a"," Fahlman, S. E. "," Faster-learning variations on back-propagation. ","","",""," (1988). "," T. ","",""," In G. E. Hinton, ","","",""
"110","fahlman1988a"," Fahlman, S. E. "," Faster-learning variations on back-propagation: an empirical study. ","",""," pp. 38-51. "," (1989). "," Proceedings of the 1988 Connectionist Models Summer School, ",""," Morgan Kaufmann, "," In Touretzky, D. S., Hinton, G., & Sejnowski, T. (Eds.), ","",""," San Mateo, California. "
"111","fahlman1988a"," Fahlman, S.E. "," Faster learning variations on backpropagation: An empirical study. ","","","","(1988)"," In Proc. 1988 Connectionist Models Summer School. ",""," Morgan Kauffman ","","",""," San Mateo, CA: "
"112","fahlman1988a"," Fahlman, S.E. "," `Fast-learning variations on back-propagation: An empirical study', ","",""," 38-51. "," (1989)"," Proc. 1988 Connectionist Models Summer School, ",""," Morgan Kaufmann, "," Touretzky, D., Hinton, G., Sejnowski, T. (eds.), ","",""," San Mateo, CA: "
"113","fahlman1988a"," Fahlman, S.E. "," Fast-Learning Variations on BackPropagation: An Empirical Study. ","",""," pp. 38-51. "," (1988). "," Proceedings of the 1988 Connectionist Models Summer School. ",""," Morgan Kaufmann. ","","","",""
"114","fahlman1988a"," Fahlman, S.E. "," Fast-learning variations on back-propagation: an empirical study. ","",""," 38-51"," 1989. "," Proceedings of the 1988 Connectionist Models Summer School, ",""," (Morgan Kaufman, "," In D. Touretzky, G. Hinton & T. Sejnowski, eds. ","",""," Pittsburgh, PA, "
"115","fahlman1988a"," Fahlman, S.E. "," Fast-learning variations on back-propagation: an empirical study. ","",""," 38-51"," 1989. "," Proceedings of the 1988 Connectionist Models Summer School, ",""," (Morgan Kaufman, "," In D. Touretzky, G. Hinton & T. Sejnowski, eds. ","",""," Pittsburgh, PA, "
"116","fahlman1988a"," Fahlman, S.E. "," Fast-learning variations on back-propagation: an empirical study. ","",""," 38-51"," 1989. "," Proceedings of the 1988 Connectionist Models Summer School, ",""," (Morgan Kaufman, San Mateo)."," In D. Touretzky, G. Hinton & T. Sejnowski, eds. ","",""," Pittsburgh, PA, "
"117","fahlman1988a"," Fahlman, S.E. "," Fast-learning variations on back-propagation: an empirical study. ","",""," 38-1"," 1989. "," Proceedings of the 1988 Connectionist Models Summer School, ","","(Morgan Kaufman,  San Mateo)."," In D. Touretzky, G. Hinton & T. Sejnowski, eds. ","",""," Pittsburgh, PA, "
"118","fahlman1988a"," S. Fahlman. "," Faster learning variations on back-propagation: An empirical study. ","",""," pages 38-51, "," 1988. "," In Procs.  of the 1988 Connectionist Models Summer School, ","","","","",""," Pittsburgh, PA, "
"119","fahlman1988a"," S.E. Fahlman. "," Fast-learning variations on back-propagation: An empirical study. ","",""," pages 38-51, ",""," Proceedings of the 1988 Connectionist Models Summer School, ",""," Morgan Kaufmann. "," In D. Touret-zky, G. Hinton, and T. Sejnowski, editors, ","",""," San Mateo, 1989. "
"120","fahlman1988a"," S. E. Fahlman. "," Faster-learning variations on back-propagation: An empirical study. ","","",""," 1988. "," In Proceedings of the 1988 Connectionists Models Summer School. ",""," Morgan Kauffman Inc., ","","","",""
"121","fahlman1988a"," Scott E. Fahlman. "," Faster learning variations on back-propagation: An empirical study. ","","",""," September ",""," 120 Bibliography ","",""," Carnegie Mellon University, School of Computer Science, "," Technical Report CMU-CS-88-162, ",""
"122","fahlman1988a"," Fahlman, S. "," E . Faster-learning variations of backpropagation : An empirical study. ","",""," 38-51,"," 1988. "," Proceedings of the 1988 Connectionist Models Summer School, ",""," Morgan Kaufmann "," In D. Touretzky, G. E. Hinton, and T. J Sejnowski (Eds), ","",""," San Mateo, CA: "
"123","fahlman1988a"," Fahlman, S. "," E . Faster-learning variations of backpropagation : An empirical study. ","","","38-51,"," 1988. "," Proceedings of the 1988 Connectionist Models Summer School, ",""," Morgan Kaufmann "," In D. Touretzky, G. E. Hinton, and T. J Sejnowski (Eds), ","",""," San Mateo, CA: "
"124","fahlman1988a"," Fahlman, S. "," E . Faster-learning variations of backpropagation : An empirical study. ","",""," 38-51,"," 1988. "," Proceedings of the 1988 Connectionist Models Summer School, ",""," Morgan Kaufmann"," In D. Touretzky, G. E. Hinton, and T. J Sejnowski (Eds), ","",""," San Mateo, CA: "
"125","fahlman1988a"," Fahlman, S. E. "," Fast-learning variations on back-propagation: An empirical study. ","",""," pages 38-51, ","1989."," Proceedings of the 1988 Connectionist Models Summer School, ",""," Mor-gan Kaufmann, "," In Touretzky, D., Hinton, G., and Sejnowski, T., editors, ","",""," Pittsburgh, PA, "
"126","fahlman1988a"," Fahlman, S. E. "," (1988) Faster-Learning Variations on Back-Propagation: An Empiri cal Study. ","",""," pp. 38-51. ",""," Proceedings of 1988 Connectionist Models Summer School, ",""," Morgan Kaufmann, "," Touretzky, D., Hinton, G and Sejnowski T. (Eds.)","",""," San Mateo, CA, "
"127","fahlman1988a"," S E Fahlman. "," Faster-learning variations on back-propagation: An empirical study. ","",""," pages 38-51. "," 1988. "," Proceedings of the 1988 Connectionist Models Summer School, ",""," Morgan Kaufman, "," In D Touretzky, G E Hinton, and T J Sejnowski, editors, ","","",""
"128","fahlman1988a"," S.E. Fahlman. "," Faster-learning Variations on Backpropagation : An Empirical Study. In T.J. ","","",""," 1988. "," in 1988 Connectionist Models Summer School. ",""," Morgan Kauf-mann, "," Sejnowski, G.E. Hinton, and D.S. Touretzky, editors, ","","",""
"129","fahlman1988a"," Fahlman, S. E. "," Faster-learning variations of backpropagation : An empirical study. ","","",""," 1988. "," Proceedings of the 1988 Connectionist Models Summer School, ",""," Morgan Kaufmann Publishers , 38-51, "," In D. Touretzky, G. E. Hinton, and T. J Sejnowski (Eds), ","",""," San Mateo, CA: "
"130","fahlman1988a"," S. Fahlmann, "," Faster-Learning Variations on BackPropagation: An Empirical Study, ","",""," pp 38-51, "," 1988. "," Proceedings of the 1988 Connectionist Models Summer School, ","","","","","",""
"131","fahlman1988a"," S. Fahlmann, "," Faster-Learning Variations on BackPropagation: An Empirical Study, ","",""," pp 38-51, "," 1988. "," Proceedings of the 1988 Connectionist Models Summer School, ","","","","","",""
"132","fahlman1988a"," S.E. Fahlman, ","   Faster-learning Variations on Backpropagation : An Empirical Study, ","","",""," 1988. "," in  1988 Connectionist Models Summer School, ",""," Mor-gan Kaufmann, "," T.J. Sejnowski, G.E. Hinton, and D.S. Touretzky, Eds. ","","",""
"133","fahlman1988a"," Fahlman, S. ","   Faster-Learning Variations on Back-Propagation: An Empirical Study. In: ","","",""," 1988 "," Proc. of the 1988 Connectionist Models Summer School, ",""," Morgan Kaufmann, ","","","",""
